game,experiment,model_pretty,acronym,main_score,played_rate
hot_air_balloon,air_balloon_survival_de_complexity_hard,DeepSeek Chat v3.1 (reasoning),DS3R,72.0546222830422,1.0
hot_air_balloon,air_balloon_survival_de_complexity_hard,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,53.93085325889553,1.0
hot_air_balloon,air_balloon_survival_de_complexity_hard,GPT-5,G5,80.25345542505521,1.0
hot_air_balloon,air_balloon_survival_de_complexity_hard,GPT-5 (reasoning),G5R,99.9348128347343,1.0
hot_air_balloon,air_balloon_survival_de_complexity_hard,GPT-5 Mini,G5m,76.02744609512754,1.0
hot_air_balloon,air_balloon_survival_de_complexity_hard,GPT-5 Mini (reasoning),G5mR,99.20153956668167,1.0
hot_air_balloon,air_balloon_survival_de_complexity_hard,GPT-OSS 120B (reasoning),O120R,96.9316740523281,1.0
hot_air_balloon,air_balloon_survival_de_complexity_hard,LLaMA-3.3-70B Instruct,L70,39.65165256113317,1.0
hot_air_balloon,air_balloon_survival_de_complexity_hard,Nemotron-Nano 9B v2,NN9,42.21383834535328,0.3333333333333333
hot_air_balloon,air_balloon_survival_de_complexity_hard,Nemotron-Nano 9B v2 (reasoning),NN9R,96.66852000506762,0.3333333333333333
hot_air_balloon,air_balloon_survival_de_complexity_hard,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_de_complexity_hard,Qwen3-Next-80B (reasoning),Q80R,92.83003181449283,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_easy,Claude Sonnet 4,CS4,0.0,0.0
hot_air_balloon,air_balloon_survival_de_negotiation_easy,Claude Sonnet 4 (reasoning),CS4R,98.51153321054325,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_easy,DeepSeek Chat v3.1 (reasoning),DS3R,93.31128603622994,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_easy,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,99.73919523099852,0.3333333333333333
hot_air_balloon,air_balloon_survival_de_negotiation_easy,GPT-5,G5,99.23082167626461,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_easy,GPT-5 (reasoning),G5R,100.0,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_easy,GPT-5 Mini,G5m,98.52460940381839,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_easy,GPT-5 Mini (reasoning),G5mR,100.0,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_easy,GPT-OSS 120B (reasoning),O120R,98.98251413446708,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_easy,LLaMA-3.3-70B Instruct,L70,56.59993336504984,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_easy,Nemotron-Nano 9B v2,NN9,62.03191942469995,0.6666666666666666
hot_air_balloon,air_balloon_survival_de_negotiation_easy,Nemotron-Nano 9B v2 (reasoning),NN9R,97.13949183913849,0.16666666666666666
hot_air_balloon,air_balloon_survival_de_negotiation_easy,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_de_negotiation_easy,Qwen3-Next-80B (reasoning),Q80R,99.9130650769995,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_hard,Claude Sonnet 4,CS4,0.0,0.0
hot_air_balloon,air_balloon_survival_de_negotiation_hard,Claude Sonnet 4 (reasoning),CS4R,91.03340107451466,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_hard,DeepSeek Chat v3.1 (reasoning),DS3R,80.1741763088561,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_hard,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,77.87804005505313,0.4
hot_air_balloon,air_balloon_survival_de_negotiation_hard,GPT-5,G5,87.90370966415092,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_hard,GPT-5 (reasoning),G5R,93.41965761895574,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_hard,GPT-5 Mini,G5m,90.13005169256571,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_hard,GPT-5 Mini (reasoning),G5mR,91.42893941063848,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_hard,GPT-OSS 120B (reasoning),O120R,81.30661043449342,0.8333333333333334
hot_air_balloon,air_balloon_survival_de_negotiation_hard,LLaMA-3.3-70B Instruct,L70,43.14499902122455,1.0
hot_air_balloon,air_balloon_survival_de_negotiation_hard,Nemotron-Nano 9B v2,NN9,41.70043916104101,0.3333333333333333
hot_air_balloon,air_balloon_survival_de_negotiation_hard,Nemotron-Nano 9B v2 (reasoning),NN9R,0.0,0.0
hot_air_balloon,air_balloon_survival_de_negotiation_hard,Qwen3-Next-80B,Q80,0.0,0.0
hot_air_balloon,air_balloon_survival_de_negotiation_hard,Qwen3-Next-80B (reasoning),Q80R,83.95658030762732,0.6666666666666666
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,Claude Sonnet 4,CS4,88.55117058621654,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,Claude Sonnet 4 (reasoning),CS4R,99.81354540631185,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,DeepSeek Chat v3.1 (reasoning),DS3R,58.789177467434136,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,DeepSeek R1-Distill LLaMA-70B (reasoning),R1D70,98.39059232191791,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,GPT-5,G5,79.82324111111711,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,GPT-5 (reasoning),G5R,100.0,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,GPT-5 Mini,G5m,85.30868140891006,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,GPT-5 Mini (reasoning),G5mR,100.0,1.0
hot_air_balloon,air_balloon_survival_de_reasoning off_easy,GPT-OSS 120B (reasoning),O120R,99.99114103472715,1.0
