,game,model,experiment,episode,metric,value
75,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Lose,0.0
76,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Success,1.0
77,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Violations Player 1,0.0
78,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Violations Player 2,0.0
79,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Total Violations,0.0
80,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Normalized Utility Player 1,96.96767744085305
81,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Normalized Utility Player 2,96.96767744085305
82,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Harmonic Mean Score,96.96767744085305
83,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_reasoning off_easy,instance_00000,Main Score,96.96767744085305
84,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_negotiation_hard,instance_00005,Request Count,7.0
85,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_negotiation_hard,instance_00005,Parsed Request Count,6.0
86,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_negotiation_hard,instance_00005,Violated Request Count,1.0
87,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_negotiation_hard,instance_00005,Request Success Ratio,0.8571428571428571
88,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_negotiation_hard,instance_00005,Aborted,1.0
89,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_negotiation_hard,instance_00005,Lose,0.0
90,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_negotiation_hard,instance_00005,Success,0.0
91,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_negotiation_hard,instance_00005,Violations Player 1,0.0
92,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_negotiation_hard,instance_00005,Violations Player 2,1.0
93,hot_air_balloon,deepseek-r1-distill-llama-70b-t1.0,air_balloon_survival_de_negotiation_hard,instance_00005,Total Violations,1.0
